periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 1",2,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308331744,106.8636813,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Cd,0.01,0.004
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Zn,0.05,0.009
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Cu,0.02,0.009
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Pb,0.03,0.009
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Cr6,0.05,0.056
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,"Minyak dan Lemak",1,0.53
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,MBAS,0.2,0.16
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Kimia,Fenol,0.005,0.032
2024,"Periode 4",10,"JTK 1","Jati Kramat","Jl.  Kalimalang  AETRA",-6.248469,106.932627,Biologi,"Total Coliform",5000,5000000
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,"Minyak dan Lemak",1,0.53
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,MBAS,0.2,0.32
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Fenol,0.005,0.001
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Biologi,"Total Coliform",5000,220000
